Institution Name,Students enrolled exclusively in distance education courses (EF2018A_DIST  Undergraduate total),Students enrolled in some but not all distance education courses (EF2018A_DIST  Undergraduate total),Student not enrolled in any distance education courses (EF2018A_DIST  Undergraduate total),Students enrolled exclusively in distance education courses (EF2018A_DIST  Graduate),Students enrolled in some but not all distance education courses (EF2018A_DIST  Graduate),Student not enrolled in any distance education courses (EF2018A_DIST  Graduate),Students enrolled exclusively in distance education courses (EF2017A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2017A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2017A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2017A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2017A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2017A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2016A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2016A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2016A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2016A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2016A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2016A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2015A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2015A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2015A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2015A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2015A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2015A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2014A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2014A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2014A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2014A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2014A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2014A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2013A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2013A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2013A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2013A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2013A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2013A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2012A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2012A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2012A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2012A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2012A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2012A_DIST_RV  Graduate)
Missouri Valley College,214,64,1570,NA,NA,19,273,47,1478,NA,NA,20,172,48,1565,NA,NA,22,46,312,1354,NA,NA,16,72,64,1547,0,0,12,72,76,1508,2,2,8,60,84,1527,2,1,6
Missouri Western State University,271,1616,3547,72,66,97,278,1566,3448,27,76,138,427,1391,3302,32,49,162,303,1332,3661,34,43,140,647,2012,2991,49,61,74,457,1580,3579,48,29,102,437,1522,3926,50,59,62
Mitchell College,NA,NA,665,NA,NA,NA,NA,NA,707,NA,NA,NA,NA,NA,677,NA,NA,NA,NA,NA,723,NA,NA,NA,0,0,778,NA,NA,NA,0,0,866,NA,NA,NA,0,33,825,NA,NA,NA
Mitchell Community College,503,1048,1613,NA,NA,NA,423,1997,784,NA,NA,NA,391,913,1769,NA,NA,NA,321,965,1738,NA,NA,NA,338,1930,838,NA,NA,NA,295,2237,982,NA,NA,NA,161,1199,2079,NA,NA,NA
Mitchell Cosmetology College,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mitchell Hamline School of Law,NA,NA,NA,302,0,852,NA,NA,NA,0,217,878,NA,NA,NA,0,141,786,NA,NA,NA,0,39,699,NA,NA,NA,0,5,660,NA,NA,NA,NA,NA,813,NA,NA,NA,NA,NA,924
Mitchell Technical Institute,242,81,875,NA,NA,NA,219,97,871,NA,NA,NA,174,102,977,NA,NA,NA,206,84,971,NA,NA,NA,169,55,1021,NA,NA,NA,126,69,1008,NA,NA,NA,83,58,948,NA,NA,NA
Mitchell's Hair Styling Academy-Raleigh,NA,NA,30,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,61,NA,NA,NA,0,0,72,NA,NA,NA,0,0,76,NA,NA,NA,0,0,96,NA,NA,NA
Mitchells Hairstyling Academy-Wilson,NA,NA,17,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,29,NA,NA,NA,0,0,27,NA,NA,NA,0,0,39,NA,NA,NA,0,0,15,NA,NA,NA
Mitsu Sato Hair Academy,NA,NA,32,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,34,NA,NA,NA,0,0,54,NA,NA,NA,0,0,36,NA,NA,NA,0,0,29,NA,NA,NA
MKG Beauty & Business,NA,NA,117,NA,NA,NA,NA,NA,114,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moberly Area Community College,1318,1775,2109,NA,NA,NA,1206,1508,2184,NA,NA,NA,765,1337,2958,NA,NA,NA,806,1431,2626,NA,NA,NA,848,1519,3064,NA,NA,NA,1015,1705,2990,NA,NA,NA,961,2413,2402,NA,NA,NA
Mobile Technical Training,NA,NA,31,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Model College of Hair Design,NA,NA,80,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA,126,NA,NA,NA,NA,NA,131,NA,NA,NA
Modern Beauty Academy,NA,NA,50,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,48,NA,NA,NA,0,0,41,NA,NA,NA
Modern Hairstyling Institute-Arecibo,NA,NA,74,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,64,NA,NA,NA,0,0,43,NA,NA,NA,0,0,76,NA,NA,NA,0,0,49,NA,NA,NA
Modern Hairstyling Institute-Bayamon,NA,NA,209,NA,NA,NA,NA,NA,172,NA,NA,NA,NA,NA,221,NA,NA,NA,NA,NA,227,NA,NA,NA,0,0,231,NA,NA,NA,0,0,253,NA,NA,NA,0,0,213,NA,NA,NA
Modern Hairstyling Institute-Carolina,NA,NA,215,NA,NA,NA,NA,NA,164,NA,NA,NA,NA,NA,225,NA,NA,NA,NA,NA,152,NA,NA,NA,0,0,222,NA,NA,NA,0,0,188,NA,NA,NA,0,0,228,NA,NA,NA
Modern Technology School,NA,NA,129,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,NA,113,NA,NA,NA,NA,NA,103,NA,NA,NA,0,0,131,NA,NA,NA,0,0,83,NA,NA,NA,0,0,92,NA,NA,NA
Modern Welding School,NA,NA,86,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA,74,NA,NA,NA,0,0,88,NA,NA,NA,NA,NA,103,NA,NA,NA,0,0,99,NA,NA,NA
Modesto Junior College,2500,5170,10238,NA,NA,NA,2281,5058,10541,NA,NA,NA,2142,4179,11363,NA,NA,NA,2022,4556,11161,NA,NA,NA,1910,4411,11257,NA,NA,NA,1453,4068,11563,NA,NA,NA,1377,3687,11921,NA,NA,NA
Mohave Community College,948,1117,2006,NA,NA,NA,962,2165,1185,NA,NA,NA,806,1035,2389,NA,NA,NA,813,1049,2498,NA,NA,NA,778,1182,2784,NA,NA,NA,76,617,4534,NA,NA,NA,793,1210,3217,NA,NA,NA
Mohawk Valley Community College,264,930,5123,NA,NA,NA,298,152,6056,NA,NA,NA,233,1107,5285,NA,NA,NA,274,1067,5334,NA,NA,NA,303,1130,5716,NA,NA,NA,362,1273,5798,NA,NA,NA,319,1218,5914,NA,NA,NA
Moler Barber College,NA,NA,273,NA,NA,NA,NA,NA,206,NA,NA,NA,NA,NA,169,NA,NA,NA,NA,NA,123,NA,NA,NA,0,0,102,NA,NA,NA,0,0,76,NA,NA,NA,0,0,75,NA,NA,NA
Moler Barber College,NA,NA,9,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,8,NA,NA,NA,0,0,12,NA,NA,NA,0,0,7,NA,NA,NA,0,0,6,NA,NA,NA
Moler Hollywood Beauty Academy,NA,NA,67,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,89,NA,NA,NA,0,0,89,NA,NA,NA,0,0,80,NA,NA,NA,0,0,90,NA,NA,NA
Moler-Pickens Beauty Academy,NA,NA,75,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,78,NA,NA,NA,0,0,78,NA,NA,NA,0,0,74,NA,NA,NA,0,0,78,NA,NA,NA
Molloy College,15,698,2726,86,120,1284,9,437,3088,64,91,1291,1,90,3507,61,55,1355,NA,NA,3425,2,26,1441,NA,NA,3336,NA,NA,1161,NA,NA,3375,NA,NA,1080,NA,NA,3444,NA,NA,1038
Monmouth College,NA,NA,914,NA,NA,NA,NA,NA,1030,NA,NA,NA,NA,NA,1147,NA,NA,NA,NA,NA,1197,NA,NA,NA,NA,NA,1300,NA,NA,NA,NA,NA,1255,NA,NA,NA,NA,NA,1242,NA,NA,NA
Monmouth County Vocational School District,NA,NA,54,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,133,NA,NA,NA
Monmouth University,5,339,4286,181,249,1107,0,189,4517,159,285,1190,2,139,4566,152,351,1161,5,112,4576,171,310,1220,12,117,4505,198,319,1244,0,93,4514,162,316,1231,1,51,4686,137,303,1294
Monongalia County Technical Education Center,NA,NA,95,NA,NA,NA,NA,NA,89,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,83,NA,NA,NA
Monroe 2 Orleans BOCES-Center for Workforce Development,NA,NA,77,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,NA,83,NA,NA,NA
Monroe College,601,786,4181,107,211,500,480,659,4375,76,215,505,570,790,4528,84,254,597,577,707,4853,61,179,481,576,858,5067,64,170,267,540,3658,2596,34,348,39,477,806,5338,58,109,209
Monroe Community College,1176,2363,8734,NA,NA,NA,1081,2370,9456,NA,NA,NA,1131,2258,10198,NA,NA,NA,1242,2244,11100,NA,NA,NA,1122,2035,12178,NA,NA,NA,1118,2187,13153,NA,NA,NA,1164,2297,13835,NA,NA,NA
Monroe County Community College,255,467,2198,NA,NA,NA,276,412,2421,NA,NA,NA,255,414,2474,NA,NA,NA,215,433,2544,NA,NA,NA,193,429,2860,NA,NA,NA,186,468,3123,NA,NA,NA,179,542,3350,NA,NA,NA
Montage Academy,NA,NA,67,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,59,NA,NA,NA,0,0,52,NA,NA,NA,0,0,49,NA,NA,NA,0,0,47,NA,NA,NA
Montana Academy of Salons,NA,NA,91,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,80,NA,NA,NA,0,0,87,NA,NA,NA,NA,NA,102,NA,NA,NA,0,0,99,NA,NA,NA
Montana Bible College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,NA,NA
Montana State University,108,1119,13624,422,116,1425,163,1008,13481,501,117,1343,100,934,13306,489,106,1424,109,898,12626,199,61,1343,105,914,12279,242,100,1342,110,963,12101,269,370,1039,89,1178,11412,276,113,1201
Montana State University Billings,937,1256,1767,212,96,47,879,1300,1842,191,127,62,817,1302,1849,206,117,71,756,1367,1907,163,134,98,832,1453,2055,219,105,104,803,1423,2239,215,164,125,789,1280,2468,226,156,162
Montana State University-Northern,183,349,499,33,1,25,232,294,637,32,2,39,179,405,555,18,10,40,222,342,590,35,0,45,163,380,605,31,1,50,187,461,602,29,2,53,151,425,633,25,1,47
Montana Technological University,42,378,1171,120,14,119,75,278,1306,105,13,132,24,310,1483,86,11,118,24,257,1639,94,13,103,26,281,1584,65,17,112,31,285,1528,69,6,91,26,206,1628,75,10,85
Montcalm Community College,132,253,1282,NA,NA,NA,168,86,1437,NA,NA,NA,67,318,1281,NA,NA,NA,33,275,1377,NA,NA,NA,126,509,1197,NA,NA,NA,103,254,1587,NA,NA,NA,89,282,1640,NA,NA,NA
Montclair State University,168,4425,12395,722,526,2879,155,3557,13140,637,368,3156,99,3143,13568,461,299,3417,71,2521,13744,363,265,3501,58,2126,13701,300,185,3652,0,1722,13709,0,475,3558,0,1638,12794,0,356,3594
Monteclaro Escuela de Hoteleria y Artes Culinarias,NA,NA,16,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,13,NA,NA,NA,0,0,4,NA,NA,NA,0,0,11,NA,NA,NA,0,0,5,NA,NA,NA
Montefiore School of Nursing,NA,NA,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,129,NA,NA,NA
Monterey Peninsula College,792,1712,5513,NA,NA,NA,722,1550,5544,NA,NA,NA,577,1364,5874,NA,NA,NA,514,1425,6338,NA,NA,NA,527,1352,5848,NA,NA,NA,408,1309,7802,NA,NA,NA,302,1018,8728,NA,NA,NA
Montessori Casa International,NA,NA,9,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,12,NA,NA,NA,0,0,15,NA,NA,NA,0,0,22,NA,NA,NA,0,0,21,NA,NA,NA
Montessori Education Center of the Rockies,NA,NA,17,NA,NA,46,NA,NA,16,NA,NA,59,NA,NA,19,NA,NA,60,NA,NA,27,NA,NA,64,NA,NA,14,NA,NA,57,NA,NA,11,NA,NA,68,NA,NA,15,NA,NA,59
Montessori Education Institute of the Pacific Northwest,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,9,NA,NA,21,NA,NA,9,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montessori Institute of Milwaukee,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,37
Montgomery Beauty School,NA,NA,133,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,103,NA,NA,NA,NA,NA,119,NA,NA,NA,NA,NA,118,NA,NA,NA,0,0,134,NA,NA,NA,NA,NA,127,NA,NA,NA
Montgomery College,1662,4322,15736,NA,NA,NA,1637,4183,17055,NA,NA,NA,1527,4155,18234,NA,NA,NA,1564,4016,19740,NA,NA,NA,1404,3757,20356,NA,NA,NA,1236,3627,21292,NA,NA,NA,282,1152,26019,NA,NA,NA
Montgomery Community College,230,356,250,NA,NA,NA,255,255,415,NA,NA,NA,259,209,295,NA,NA,NA,288,247,283,NA,NA,NA,320,201,342,NA,NA,NA,304,234,346,NA,NA,NA,63,281,493,NA,NA,NA
Montgomery County Community College,1590,1975,6886,NA,NA,NA,1432,1988,6972,NA,NA,NA,1655,2018,7807,NA,NA,NA,1612,1993,8767,NA,NA,NA,1426,1932,9447,NA,NA,NA,1398,2060,9664,NA,NA,NA,1418,2181,10046,NA,NA,NA
Montreat College,97,262,436,34,58,34,80,214,463,39,14,107,57,272,437,22,24,145,55,291,462,27,9,164,44,0,691,33,0,165,25,42,676,22,7,154,0,37,664,0,11,112
Montserrat College of Art,0,0,367,NA,NA,NA,0,0,368,NA,NA,NA,0,0,377,NA,NA,NA,NA,NA,371,NA,NA,NA,NA,NA,402,NA,NA,NA,0,29,363,NA,NA,NA,NA,NA,396,NA,NA,NA
Monty Tech,NA,NA,39,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,34,NA,NA,NA
Moody Bible Institute,671,230,1545,283,97,260,675,130,1911,296,98,334,691,127,2039,308,104,332,508,105,2535,126,106,542,915,106,2214,231,79,422,843,145,2115,194,97,315,779,125,2183,163,83,337
Moore Career College,NA,NA,108,NA,NA,NA,NA,NA,105,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,13,NA,NA,NA,0,0,58,NA,NA,NA,0,0,59,NA,NA,NA,0,0,58,NA,NA,NA
Moore College of Art and Design,0,45,327,0,9,16,0,37,336,0,10,21,0,50,318,0,12,21,0,66,339,0,20,14,0,37,375,0,27,14,0,0,437,0,14,33,NA,NA,482,NA,NA,47
Moore Norman Technology Center,NA,NA,1686,NA,NA,NA,NA,NA,1505,NA,NA,NA,NA,NA,1375,NA,NA,NA,NA,NA,1400,NA,NA,NA,0,4,1032,NA,NA,NA,0,2,1163,NA,NA,NA,NA,NA,526,NA,NA,NA
Moorpark College,1805,3166,9386,NA,NA,NA,1275,2573,10495,NA,NA,NA,1067,2222,10721,NA,NA,NA,991,1870,11166,NA,NA,NA,707,1545,11628,NA,NA,NA,799,1625,11782,NA,NA,NA,1024,1933,11648,NA,NA,NA
Moraine Park Technical College,941,529,3000,NA,NA,NA,527,1336,3044,NA,NA,NA,1853,949,3239,NA,NA,NA,1444,461,4389,NA,NA,NA,466,970,4844,NA,NA,NA,492,1110,5011,NA,NA,NA,448,1185,4441,NA,NA,NA
Moraine Valley Community College,593,2139,11030,NA,NA,NA,663,1923,12034,NA,NA,NA,637,1801,12583,NA,NA,NA,630,1723,12663,NA,NA,NA,578,1581,13127,NA,NA,NA,531,1622,13953,NA,NA,NA,550,1550,14550,NA,NA,NA
Moravian College,5,73,2061,22,1,352,3,64,2016,5,4,354,0,14,1970,7,1,434,0,153,1678,0,9,421,5,26,1581,0,0,358,9,7,1537,5,0,279,0,16,1566,6,4,318
More Tech Institute,NA,NA,68,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,83,NA,NA,NA,0,0,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morehead State University,842,2898,5655,647,101,52,890,3174,5597,680,99,140,927,3200,5625,743,114,137,912,3086,5782,841,100,151,1041,3107,5803,874,127,100,1008,3019,6049,998,164,120,1027,2538,6157,1072,227,148
Morehouse College,NA,NA,2206,NA,NA,NA,NA,NA,2202,NA,NA,NA,NA,NA,2108,NA,NA,NA,NA,NA,2167,NA,NA,NA,NA,NA,2109,NA,NA,NA,NA,NA,2170,NA,NA,NA,NA,NA,2374,NA,NA,NA
Morehouse School of Medicine,NA,NA,NA,NA,NA,542,NA,NA,NA,NA,NA,520,NA,NA,NA,NA,NA,480,NA,NA,NA,NA,NA,452,NA,NA,NA,NA,NA,398,NA,NA,NA,NA,NA,372,NA,NA,NA,NA,NA,360
Moreno Valley College,1334,1038,7702,NA,NA,NA,1117,875,7922,NA,NA,NA,651,586,7965,NA,NA,NA,626,530,7690,NA,NA,NA,563,455,7713,NA,NA,NA,430,294,7696,NA,NA,NA,330,298,8451,NA,NA,NA
Morgan Community College,416,270,542,NA,NA,NA,410,380,593,NA,NA,NA,252,283,939,NA,NA,NA,213,245,1189,NA,NA,NA,175,292,1370,NA,NA,NA,158,137,1556,NA,NA,NA,170,251,1418,NA,NA,NA
Morgan State University,42,1167,5210,169,193,931,13,1069,5358,170,181,956,18,868,5476,163,187,977,9,608,5702,129,199,1078,12,408,5882,10,195,1191,6,325,5921,31,153,1110,10,29,6552,85,86,1190
Morgantown Beauty College Inc,NA,NA,87,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,97,NA,NA,NA,NA,NA,47,NA,NA,NA,0,0,67,NA,NA,NA,0,0,68,NA,NA,NA,0,0,28,NA,NA,NA
Morningside College,27,0,1255,1416,0,0,24,0,1298,1466,0,0,0,0,1321,1581,0,0,0,0,1307,1490,0,0,3,0,1318,1502,0,0,2,0,1303,1237,0,0,0,0,1239,982,0,0
Morris College,NA,NA,649,NA,NA,NA,NA,NA,747,NA,NA,NA,NA,NA,754,NA,NA,NA,NA,NA,774,NA,NA,NA,NA,NA,780,NA,NA,NA,NA,NA,824,NA,NA,NA,NA,NA,874,NA,NA,NA
Morris County Vocational School District,NA,NA,37,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,63,NA,NA,NA
Morrison Institute of Technology,NA,NA,116,NA,NA,NA,NA,NA,102,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,103,NA,NA,NA,NA,NA,82,NA,NA,NA
Morton College,110,434,3807,NA,NA,NA,85,419,3883,NA,NA,NA,78,323,3996,NA,NA,NA,83,347,4162,NA,NA,NA,86,317,4250,NA,NA,NA,46,274,4566,NA,NA,NA,62,279,4747,NA,NA,NA
Motlow State Community College,1153,1807,3926,NA,NA,NA,950,1588,4056,NA,NA,NA,719,1147,3972,NA,NA,NA,587,974,3695,NA,NA,NA,664,898,3196,NA,NA,NA,657,784,3459,NA,NA,NA,732,873,3153,NA,NA,NA
Motoring Technical Training Institute,NA,NA,196,NA,NA,NA,NA,NA,321,NA,NA,NA,NA,NA,361,NA,NA,NA,NA,NA,303,NA,NA,NA,0,0,314,NA,NA,NA,0,0,298,NA,NA,NA,0,0,214,NA,NA,NA
MotoRing Technical Training Institute,NA,NA,59,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,8,NA,NA,NA,0,0,14,NA,NA,NA,0,0,10,NA,NA,NA,0,0,10,NA,NA,NA
Mott Community College,521,721,6473,NA,NA,NA,359,563,6767,NA,NA,NA,272,472,7269,NA,NA,NA,247,490,7662,NA,NA,NA,260,470,8207,NA,NA,NA,279,504,8900,NA,NA,NA,283,530,9155,NA,NA,NA
Mount Aloysius College,134,547,1052,3,26,22,156,386,1146,0,7,45,155,331,1234,0,0,65,160,344,1299,0,0,74,138,329,1327,0,4,69,92,335,1354,0,2,52,55,434,1217,0,1,61
Mount Angel Seminary,NA,NA,40,NA,NA,125,NA,NA,53,NA,NA,122,NA,NA,59,NA,NA,131,NA,NA,65,NA,NA,97,NA,NA,61,NA,NA,91,NA,NA,70,NA,NA,100,NA,NA,77,NA,NA,106
Mount Carmel College of Nursing,183,86,604,148,0,69,181,67,632,135,44,10,216,0,710,116,51,12,198,96,604,85,7,73,209,93,625,29,60,68,211,90,646,29,60,85,157,46,683,30,74,66
Mount Holyoke College,0,0,2208,71,10,46,0,6,2204,77,15,32,0,3,2196,36,50,42,0,0,2126,20,29,40,0,0,2189,14,9,43,0,0,2183,21,4,43,NA,NA,2325,NA,NA,22
Mount Marty College,2,203,657,1,133,48,30,117,729,NA,NA,172,74,157,777,NA,NA,156,101,139,807,NA,NA,143,96,79,933,NA,NA,128,31,94,943,NA,NA,157,47,35,954,0,41,101
Mount Mary University,9,160,523,159,61,427,9,117,576,186,34,444,3,136,608,176,39,442,5,102,640,70,64,432,0,60,742,0,81,502,0,97,829,0,104,451,0,117,937,0,73,513
Mount Mercy University,152,233,1116,81,29,224,150,169,1198,37,19,275,124,149,1307,9,29,268,75,97,1371,0,45,289,20,15,1409,NA,NA,318,7,38,1431,0,34,251,2,27,1484,11,12,274
Mount Saint Joseph University,18,274,1151,113,33,573,37,220,1061,118,26,548,16,118,1202,126,50,533,30,95,1402,50,185,311,65,34,1558,76,38,448,18,39,1738,0,3,528,1,13,1826,2,10,442
Mount Saint Mary College,18,163,1824,0,1,346,20,175,1841,0,1,328,16,155,1957,4,13,323,2,133,2022,NA,NA,351,23,91,2009,0,0,356,11,80,2112,0,0,353,3,60,2223,0,5,290
Mount Saint Mary's University,144,843,1369,17,34,558,100,967,1535,16,39,569,160,757,1914,8,15,642,106,657,2024,1,0,643,76,780,1812,4,37,583,46,727,1852,4,21,624,20,506,1932,0,4,684
Mount St. Mary's University,22,141,1725,9,54,455,16,72,1729,10,27,469,12,46,1671,7,31,419,9,36,1750,12,52,398,4,62,1744,4,30,461,2,32,1707,0,0,499,2,36,1804,0,0,508
Mount Vernon Nazarene University,274,176,1388,249,0,156,247,201,1380,192,202,0,214,0,1617,123,0,291,78,102,1608,10,118,215,23,287,1458,8,177,184,146,156,1527,147,58,195,83,0,1673,90,0,421
Mount Wachusett Community College,424,790,2510,NA,NA,NA,473,823,2558,NA,NA,NA,433,882,2646,NA,NA,NA,483,864,2727,NA,NA,NA,465,852,3019,NA,NA,NA,477,830,3427,NA,NA,NA,481,812,3438,NA,NA,NA
Mountain Empire Community College,490,833,1183,NA,NA,NA,364,874,1446,NA,NA,NA,353,845,1539,NA,NA,NA,317,851,1550,NA,NA,NA,455,833,1430,NA,NA,NA,512,1045,1367,NA,NA,NA,604,981,1504,NA,NA,NA
Mountain State College,3,13,7,NA,NA,NA,1,6,71,NA,NA,NA,53,34,25,NA,NA,NA,76,27,30,NA,NA,NA,31,87,40,NA,NA,NA,80,10,63,NA,NA,NA,49,2,102,NA,NA,NA
Mountain State School of Massage,NA,NA,18,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,37,NA,NA,NA,0,0,26,NA,NA,NA,0,0,21,NA,NA,NA,NA,NA,26,NA,NA,NA
Mountain View College,2258,1779,7582,NA,NA,NA,2128,1529,6563,NA,NA,NA,2200,1583,5869,NA,NA,NA,1947,1524,5924,NA,NA,NA,1926,1472,5552,NA,NA,NA,654,54,8089,NA,NA,NA,482,51,8535,NA,NA,NA
Mountainland Technical College,NA,NA,2801,NA,NA,NA,NA,NA,2555,NA,NA,NA,NA,NA,2425,NA,NA,NA,NA,NA,2117,NA,NA,NA,NA,NA,2168,NA,NA,NA,NA,NA,1959,NA,NA,NA,NA,NA,1936,NA,NA,NA
Mountwest Community and Technical College,295,433,1145,NA,NA,NA,319,738,857,NA,NA,NA,307,535,1239,NA,NA,NA,306,480,989,NA,NA,NA,263,466,1297,NA,NA,NA,208,589,1460,NA,NA,NA,564,435,1609,NA,NA,NA
